,Nboot,NSim,N,AtoB,AtoC,BtoC,typeA,powIE,powTE,powDE,powa,powb
56,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,2.999999999999999889e-01,-2.999999999999999889e-01,-2.999999999999999889e-01,9.900000000000000000e+01,2.599999999999999881e-02,1.769999999999999907e-01,9.600000000000000200e-02,1.640000000000000069e-01,1.360000000000000098e-01
57,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,4.000000000000000222e-01,-2.999999999999999889e-01,9.900000000000000000e+01,4.100000000000000172e-02,1.039999999999999952e-01,7.499999999999999722e-02,1.980000000000000093e-01,1.819999999999999951e-01
58,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,2.999999999999999889e-01,2.999999999999999889e-01,1.000000000000000000e+00,1.439999999999999891e-01,1.000000000000000000e+00,7.209999999999999742e-01,1.000000000000000000e+00,1.350000000000000089e-01
59,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,1.000000000000000056e-01,2.999999999999999889e-01,1.000000000000000000e+00,7.599999999999999811e-02,1.000000000000000000e+00,6.450000000000000178e-01,1.000000000000000000e+00,7.099999999999999367e-02
60,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,-1.000000000000000056e-01,1.000000000000000056e-01,9.900000000000000000e+01,1.099999999999999936e-02,1.189999999999999947e-01,8.599999999999999312e-02,9.199999999999999845e-02,6.800000000000000488e-02
61,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,0.000000000000000000e+00,1.000000000000000056e-01,9.900000000000000000e+01,1.499999999999999944e-02,1.089999999999999997e-01,7.900000000000000078e-02,1.170000000000000068e-01,6.800000000000000488e-02
62,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,4.000000000000000222e-01,0.000000000000000000e+00,1.000000000000000000e+00,2.199999999999999872e-02,1.000000000000000000e+00,9.989999999999999991e-01,9.099999999999999756e-02,1.769999999999999907e-01
63,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-4.000000000000000222e-01,4.000000000000000222e-01,-2.999999999999999889e-01,1.000000000000000000e+00,1.690000000000000113e-01,1.000000000000000000e+00,5.240000000000000213e-01,1.000000000000000000e+00,1.600000000000000033e-01
64,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.000000000000000111e-01,2.999999999999999889e-01,-1.000000000000000056e-01,9.900000000000000000e+01,1.499999999999999944e-02,1.250000000000000000e-01,8.500000000000000611e-02,1.079999999999999988e-01,1.170000000000000068e-01
65,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,2.999999999999999889e-01,9.900000000000000000e+01,1.299999999999999940e-02,7.299999999999999545e-02,4.200000000000000261e-02,1.779999999999999916e-01,6.500000000000000222e-02
66,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,8.300000000000000433e-02,1.000000000000000000e+00,9.769999999999999796e-01,9.639999999999999680e-01,7.799999999999999989e-02
67,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-2.999999999999999889e-01,0.000000000000000000e+00,-2.999999999999999889e-01,1.000000000000000000e+00,6.400000000000000133e-02,1.000000000000000000e+00,5.639999999999999458e-01,1.000000000000000000e+00,6.500000000000000222e-02
68,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,-1.000000000000000056e-01,-1.000000000000000056e-01,1.000000000000000056e-01,9.900000000000000000e+01,7.000000000000000146e-03,8.300000000000000433e-02,7.299999999999999545e-02,8.799999999999999489e-02,6.700000000000000400e-02
69,1.000000000000000000e+03,1.000000000000000000e+03,1.000000000000000000e+01,0.000000000000000000e+00,2.999999999999999889e-01,0.000000000000000000e+00,9.900000000000000000e+01,1.299999999999999940e-02,7.599999999999999811e-02,6.600000000000000311e-02,8.300000000000000433e-02,1.219999999999999973e-01
