,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
38,10.0,1000.0,99.0,0.0,-0.2,-0.19560086635272622,0.4049707756787295,-0.19773155667339692,0.39809326332245554,0.03305720025523206,0.18451064281290902,0.11026871024829489,0.11927330848869451
39,10.0,1000.0,99.0,0.0,-0.2,-0.21961935581885705,0.3804984516777988,-0.09634989510382325,0.38412038088033307,0.02576204710193602,0.1618549014402604,0.10592209990629113,0.11244981943569542
40,10.0,1000.0,99.0,0.0,-0.2,-0.20036378541898195,0.3982088753700822,0.024135062123962735,0.39401272330132175,-0.00434815252765987,0.17968024605474206,0.10311161847171905,0.12057510016418359
41,10.0,1000.0,99.0,0.0,-0.2,-0.2069252615376182,0.39023604724212146,0.12508805490152333,0.38520759565606544,-0.02234483459485152,0.1762268659254055,0.10107563443400402,0.11122210209859272
42,10.0,1000.0,99.0,0.0,-0.2,-0.218238109713352,0.3657471425015403,0.20409787222121317,0.42366337122498887,-0.0435791888615761,0.19271591698002177,0.11800145962845422,0.13069397708688565
43,10.0,1000.0,99.0,0.0,-0.2,-0.20152976599235076,0.38769585515092003,0.2901784858125711,0.42690837321672753,-0.07036045613895368,0.21732576230217984,0.13311289063812545,0.134373526789057
44,10.0,1000.0,99.0,0.0,-0.2,-0.19702566015907258,0.38280118657041173,0.39410682502072775,0.3833292146831696,-0.0787006950321206,0.22695289822917963,0.14389717628457432,0.13748356940304388
45,10.0,1000.0,99.0,0.1,-0.2,-0.19678764797572085,0.3779624462159891,-0.39389161260798833,0.41931915309314793,0.07725887788294847,0.22840493998463868,0.14579324645684943,0.13788565305223024
46,10.0,1000.0,99.0,0.1,-0.2,-0.19271462176376297,0.3609472535234548,-0.29397461643946293,0.38656975964378004,0.0650207674197323,0.19457665391853743,0.12453497318269066,0.12804797229000725
47,10.0,1000.0,99.0,0.1,-0.2,-0.2249605889520196,0.354190813301597,-0.22374472151215435,0.39457609922758247,0.044897695239651,0.17489093932367142,0.11010293774882078,0.12257880144180128
48,10.0,1000.0,99.0,0.1,-0.2,-0.19440143025388262,0.38235818377912545,-0.11189526191453238,0.3916389514972645,0.020030601085405365,0.17210023115727582,0.10210176908099812,0.10853882226406683
49,10.0,1000.0,99.0,0.1,-0.2,-0.20386450970371597,0.36957829513106394,-0.006792637315187042,0.3962334279292392,-0.003756831018063119,0.1633178358432031,0.10234603087435985,0.11050422166451637
50,10.0,1000.0,99.0,0.1,-0.2,-0.20425853399345897,0.362935107646345,0.11138234711833617,0.384430015047842,-0.012812438161490379,0.16218350475309343,0.0974499775269907,0.1088717696603947
51,10.0,1000.0,99.0,0.1,-0.2,-0.19776611591912172,0.3781864594051698,0.21102078121579185,0.4091762978616894,-0.03571157078051529,0.1954406411651456,0.12011229839631854,0.1256891691858908
52,10.0,1000.0,99.0,0.1,-0.2,-0.1997043076406413,0.3871390224476021,0.29893395433881564,0.40901866159499156,-0.052934497951225054,0.21433845231523033,0.13336011652953356,0.13711685254278053
53,10.0,1000.0,99.0,0.1,-0.2,-0.2255249388361598,0.37625891687054785,0.3982762063776607,0.40492865340992723,-0.09902862583340484,0.2354746912604955,0.15041728174300947,0.14950070791520562
54,10.0,1000.0,99.0,0.2,-0.2,-0.19425435964705795,0.36074587796296614,-0.3887247215271556,0.42566551194935925,0.06431950298895063,0.22061344498679994,0.138905003589676,0.13565459265925242
55,10.0,1000.0,99.0,0.2,-0.2,-0.1744717118232592,0.36724821144236897,-0.31207700139021505,0.4091925797996014,0.05236066002783384,0.2141949939908726,0.12419117204816923,0.1268129247684743
