,N,NSim,typeA,Exp_a,Exp_b,mAct_a,stdAct_a,mAct_b,stdAct_b,m_IE,std_IE,m_K,std_K
30,10.0,1000.0,99.0,-0.1,0.4,0.4054299454550055,0.37194451910906606,-0.10978822138172376,0.40634607637578046,-0.03463373524364427,0.22891193324063708,0.13321260711887176,0.1329500512724614
31,10.0,1000.0,99.0,-0.1,0.4,0.3899412937825568,0.36239871884855074,0.006551679349218492,0.42194490790304096,0.003608111182359812,0.22668080945348784,0.13187404761107696,0.1345502098782255
32,10.0,1000.0,99.0,-0.1,0.4,0.4148049454430629,0.3608524112649238,0.10549517588285551,0.3884663046664755,0.051398579402637236,0.22836940769522823,0.1422103752266517,0.13897206983565993
33,10.0,1000.0,99.0,-0.1,0.4,0.4028939336901735,0.361263788727061,0.2020212250335218,0.40387429318765045,0.08291918424092404,0.22955100294503092,0.15003660400400126,0.1427685315427845
34,10.0,1000.0,99.0,-0.1,0.4,0.3926449694743284,0.3757913623218999,0.28575162803671206,0.3940728152090874,0.10819322937883036,0.23106148408896265,0.15614370571045755,0.14676914966346477
35,10.0,1000.0,99.0,-0.1,0.4,0.39649773230754953,0.39731036901184447,0.4095551870904859,0.39114075226981443,0.16951010878954725,0.2861461898295999,0.19214937458995526,0.17029966745210717
36,10.0,1000.0,99.0,0.0,0.4,0.40151923091810077,0.37139633305170866,-0.39098829645213357,0.40638529722692945,-0.1606666871712479,0.2624084665298286,0.18260124665983615,0.16318637414799886
37,10.0,1000.0,99.0,0.0,0.4,0.418170328792053,0.37954085308008884,-0.32356362197927124,0.42831482589062153,-0.14029740445278818,0.2749725453133326,0.17569277892549734,0.1670379152248674
38,10.0,1000.0,99.0,0.0,0.4,0.39267486054462963,0.36387660401533917,-0.22988582903822466,0.40337215991922243,-0.08760783369458557,0.22598975861531695,0.1485258212043773,0.14395436077793577
39,10.0,1000.0,99.0,0.0,0.4,0.3915632403124347,0.38002382006850066,-0.08251370803047417,0.3998669653955471,-0.03404566975615744,0.22783257935728315,0.13181849966108736,0.13776367019222038
40,10.0,1000.0,99.0,0.0,0.4,0.3970153481350029,0.3836875801129402,-0.00023643785886683232,0.4068529400358926,0.0003568971645284211,0.23260999911801053,0.12734232798394915,0.1327527189836832
41,10.0,1000.0,99.0,0.0,0.4,0.4004130075773674,0.3767809734129901,0.0993158767556815,0.4078918873451392,0.04123745982955603,0.2270461168102023,0.13911148514003527,0.13663888899458962
42,10.0,1000.0,99.0,0.0,0.4,0.4086050759126817,0.37360135040093223,0.1960740150490879,0.3941808530011545,0.07545027172033462,0.23587350375722702,0.1496849203606098,0.14927835673295553
43,10.0,1000.0,99.0,0.0,0.4,0.41406613310794266,0.36039814247730284,0.32554227871673014,0.39292916382340304,0.13486530742043382,0.2556495782829898,0.1739264072485066,0.15259101319571194
44,10.0,1000.0,99.0,0.0,0.4,0.41418835168137896,0.38272672307658057,0.3681959075380562,0.4211888976786183,0.14820110682665114,0.26583432129341844,0.18186629491850304,0.16096552565307046
45,10.0,1000.0,99.0,0.1,0.4,0.41245605214824616,0.37084370375031767,-0.4119383980963321,0.41261301768429204,-0.16230777153725512,0.2856229569308499,0.19812679341831396,0.16912943199351915
46,10.0,1000.0,99.0,0.1,0.4,0.3872943451681327,0.3671878981596708,-0.3225388753923446,0.40644192050922623,-0.12436897839774222,0.2429158718451016,0.17028870780430086,0.156922662966683
47,10.0,1000.0,99.0,0.1,0.4,0.4005489000638273,0.36249647378892447,-0.20938489137477906,0.39131737106316344,-0.07974838173581253,0.22591337420526716,0.1500399356496951,0.1462219545932514
48,10.0,1000.0,99.0,0.1,0.4,0.39951514878127165,0.3788576629237047,-0.09771878758847564,0.4007574068621072,-0.04178059434883859,0.2274514278743016,0.1347874442228265,0.1406352937090348
49,10.0,1000.0,99.0,0.1,0.4,0.41410818440657404,0.37515020484156836,0.022695296562341403,0.4181632272202396,0.013134798568381676,0.23761225587064425,0.1418752100441315,0.1419191209526744
50,10.0,1000.0,99.0,0.1,0.4,0.39084024234571496,0.3596100963787349,0.1254837548395782,0.40103644975371294,0.04704990999459547,0.22023993379781276,0.12647206134130953,0.12679138009909274
51,10.0,1000.0,99.0,0.1,0.4,0.4116131304763162,0.3882119290039153,0.18939518215482445,0.39436730666776015,0.07419195551156013,0.23353324168602657,0.147516253696811,0.1459675852729113
52,10.0,1000.0,99.0,0.1,0.4,0.3896040548443558,0.3842049573681646,0.3055513540055307,0.38393899747497534,0.1242800143100757,0.24115169246524795,0.16347700708405413,0.14983813623885486
53,10.0,1000.0,99.0,0.1,0.4,0.3857625400393806,0.37655251716356963,0.4082812634425666,0.42274435262501725,0.15316160140337517,0.26694999243594997,0.18573876721781932,0.16403648536788892
54,10.0,1000.0,99.0,0.2,0.4,0.40929438912882005,0.3645293463109571,-0.3705058654246289,0.4019819146138418,-0.1586909953929861,0.26923899793463224,0.19726663454889046,0.16719034126156337
55,10.0,1000.0,99.0,0.2,0.4,0.41321622158467225,0.368363865320231,-0.30475630127055336,0.40964903389781177,-0.12785980040161063,0.25770646086157084,0.1738685595704856,0.16068670611692065
